x	y	numero de los vecinos	angulos			vecinos
5	11		4		
					4.26796977048359	(5,24)
					0.551654982528547	(13,24)
					0.715366060239519	(26,1)
					0.748194493927929	(23,16)

5	24		4		
					1.5707963267949		(5,11)
					3.24126130608096	(8,54)
					0.655695626241536	(13,24)
					0.815432048062198	(18,34)

8	54		4		
					0.563316261491968	(5,24)
					0.496422753404882	(18,34)
					3.95167715904284	(17,61)
					1.2717691332399		(18,47)

13	24		5		
					2.0344439357957		(18,34)
					1.44771036709989	(5,11)
					1.01914134426635	(5,24)
					0.960792383940871	(23,16)
					0.821097276076772	(30,29)

17	61		4		
					0.9810606227295		(8,54)
					1.0358412530088		(18,47)
					0.558599315343562	(29,55)
					3.70768411609772	(38,63)

18	34		6		
					1.63965281609594	(13,24)
					0.451453091552554	(5,24)
					1.76284434403563	(8,54)
					0.463647609000806	(18,47)
					0.982793723247329	(30,29)
					0.982793723247329	(30,42)

18	47		5		
					1.17600520709514	(18,34)
					2.18152229118411	(8,54)
					0.888762897620398	(17,61)
					1.01330750516475	(29,55)
					1.02358740611519	(30,42)

23	16		5		
					1.53854944435964	(26,1)
					1.49724503630636	(5,11)
					0.945687792561973	(13,24)
					0.911706280460689	(29,17)
					1.38999675349093	(30,29)

26	1		5		
					0.928981557043917	(23,16)
					3.54899174761696	(5,11)
					0.382743509845576	(29,17)
					0.814110896965575	(40,10)
					0.608357595707557	(53,0)

29	17		5		
					1.81908623609796	(30,29)
					1.18941505926709	(26,1)
					1.22029969938458	(23,16)
					1.03037682652431	(40,10)
					1.02400748590565	(41,23)

29	55		5		
					1.01877193164924	(18,47)
					1.09244389541624	(17,61)
					1.03037682652431	(30,42)
					1.19028994968253	(39,50)
					1.95130270390726	(38,63)

30	29		7		
					1.15459083700321	(29,17)
					0.41080013703114	(23,16)
					0.790803516157997	(13,24)
					0.68084256141708	(18,34)
					1.17600520709514	(30,42)
					1.06607593920364	(41,23)
					1.00406710927139	(41,36)

30	42		6		
					0.920925877382949	(39,50)
					1.07144960511477	(30,29)
					0.982793723247329	(18,34)
					0.982793723247329	(18,47)
					1.09923331582536	(29,55)
					1.22598906236186	(41,36)

38	63		5		
					0.965949987098759	(39,50)
					0.920925877382949	(29,55)
					0.631690634338969	(17,61)
					0.23263361128264	(50,56)
					3.53198519707627	(61,56)

39	50		6		
					1.03037682652431	(38,63)
					0.986051040717335	(30,42)
					1.19028994968253	(29,55)
					1.03410815249097	(41,36)
					0.894137841379892	(51,45)
					1.14822149638454	(50,56)

40	10		5		
					1.08083900054117	(41,23)
					1.91455954751463	(26,1)
					1.13806669735713	(29,17)
					1.08810340181207	(53,0)
					1.06161665995458	(53,16)

41	23		6		
					1.11949376963831	(40,10)
					1.07144960511477	(41,36)
					1.03037682652431	(29,17)
					0.962994330680936	(30,29)
					0.832981266674432	(52,33)
					1.26588950854682	(53,16)

41	36		6		
					1.30454427764397	(41,23)
					1.00406710927139	(30,29)
					1.06607593920364	(30,42)
					0.929552550510603	(39,50)
					0.999067150937432	(52,33)
					0.979878279612554	(51,45)

50	56		4		
					1.48013643959415	(51,45)
					1.16210949231551	(39,50)
					1.02742117010649	(38,63)
					2.61351820516343	(61,56)

51	45		6		
					1.08534531989439	(50,56)
					0.41970197903942	(52,33)
					0.921122456896831	(41,36)
					1.12760622148627	(39,50)
					1.90093438254147	(62,25)
					0.82847494732121	(61,56)

52	33		5		
					1.22140304575553	(51,45)
					0.891737089390154	(41,23)
					1.00406710927139	(41,36)
					0.837299561855621	(53,16)
					2.32867850090689	(62,25)

53	0		4		
					0.91510070055336	(53,16)
					4.40385351567691	(26,1)
					0.618675510367606	(40,10)
					0.345555580581712	(62,25)

53	16		5		
					2.35619449019234	(53,0)
					1.13838855122436	(40,10)
					0.960482223996898	(41,23)
					0.983966055652814	(52,33)
					0.844153986113171	(62,25)

61	56		4		
					4.38470126080572	(62,25)
					0.770061942555719	(51,45)
					0.832981266674432	(50,56)
					0.29544083714372	(38,63)

62	25		5		
					0.470596328492607	(61,56)
					3.51939511660676	(53,0)
					0.439842582815736	(53,16)
					1.460139105621		(52,33)
					0.393212173643483	(51,45)

